title,impact,component,start_date,end_date,duration_minutes,year,month_num,date_text_raw,body,link
Disruption with some GitHub services,minor,General,2026-02-10 15:07,,,2026,2,"Feb 10, 15:07 UTC",We continue investigating intermittent timeouts on some pages.,https://www.githubstatus.com/incidents/wkgqj4546z1c
Copilot Policy Propagation Delays,minor,Copilot,2026-02-09 16:29,2026-02-10 09:57,1048,2026,2,"Feb 9, 16:29 - Feb 10, 09:57 UTC",This incident has been resolved.,https://www.githubstatus.com/incidents/t5qmhtg29933
"Incident with Issues, Actions and Git Operations",major,Actions,2026-02-09 19:01,2026-02-09 20:09,68,2026,2,"Feb 9, 19:01 - 20:09 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/lcw3tg2f6zsd
Notifications are delayed,minor,Notifications,2026-02-09 15:54,2026-02-09 19:29,215,2026,2,"Feb 9, 15:54 - 19:29 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/54hndjxft5bx
Incident with Pull Requests,major,Pull Requests,2026-02-09 16:19,2026-02-09 17:40,81,2026,2,"Feb 9, 16:19 - 17:40 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/smf24rvl67v9
Incident with Actions,minor,Actions,2026-02-09 14:17,2026-02-09 15:46,89,2026,2,"Feb 9, 14:17 - 15:46 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/tkz0ptx49rl0
Degraded performance for Copilot Coding Agent,minor,Copilot,2026-02-09 10:01,2026-02-09 12:12,131,2026,2,"Feb 9, 10:01 - 12:12 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/qrlc0jjgw517
"Degraded Performance in Webhooks API and UI, Pull Requests",minor,Pull Requests,2026-02-09 08:15,2026-02-09 11:26,191,2026,2,"Feb 9, 08:15 - 11:26 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/ffz2k716tlhx
Incident with Pull Requests,minor,Pull Requests,2026-02-06 17:49,2026-02-06 18:36,47,2026,2,"Feb 6, 17:49 - 18:36 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/41mrvyqnmnmb
Incident with Copilot,minor,Copilot,2026-02-06 11:16,2026-02-06 11:58,42,2026,2,"Feb 6, 11:16 - 11:58 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/y7www8s68myy
