month,title,impact,date_text,body,link
February 2026,Disruption with some GitHub services,minor,"Feb 10, 15:07 UTC",We continue investigating intermittent timeouts on some pages.,https://www.githubstatus.com/incidents/wkgqj4546z1c
February 2026,Copilot Policy Propagation Delays,minor,"Feb 9, 16:29 - Feb 10, 09:57 UTC",This incident has been resolved.,https://www.githubstatus.com/incidents/t5qmhtg29933
February 2026,"Incident with Issues, Actions and Git Operations",major,"Feb 9, 19:01 - 20:09 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/lcw3tg2f6zsd
February 2026,Notifications are delayed,minor,"Feb 9, 15:54 - 19:29 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/54hndjxft5bx
February 2026,Incident with Pull Requests,major,"Feb 9, 16:19 - 17:40 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/smf24rvl67v9
February 2026,Incident with Actions,minor,"Feb 9, 14:17 - 15:46 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/tkz0ptx49rl0
February 2026,Degraded performance for Copilot Coding Agent,minor,"Feb 9, 10:01 - 12:12 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/qrlc0jjgw517
February 2026,"Degraded Performance in Webhooks API and UI, Pull Requests",minor,"Feb 9, 08:15 - 11:26 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/ffz2k716tlhx
February 2026,Incident with Pull Requests,minor,"Feb 6, 17:49 - 18:36 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/41mrvyqnmnmb
February 2026,Incident with Copilot,minor,"Feb 6, 11:16 - 11:58 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/y7www8s68myy
